Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"11        ",Male,16,Right-Handed,117.8,26.16,16.25,2,Bus,40,.425,34,Bowling,1000,733,1000,733,128,620,26.67,"Left foot",8.5,8.5,"Same length",May,Winter,No,No,Pizza/Pasta,Water,"Computers and technology",8,10,3,"Yes - broadband connection","In person",5,16,7,0,9,7,5,8,4,1,4,0,0,4,"A lot","Graduate degree",Other,"Freeze time",Happy,Other,Environment
USA,CA,2020,"7         ",Male,14,Right-Handed,8,8,10,5,Other,30,22,10,Baseball/Softball,5,5,8,9,10,15,15,"Left foot",24,12,"Ring finger",December,,,,,,English,12,12,yes,"No internet connection","Text messaging",3,,7,9,0,7,,1,,,,,,,,,,,,,
USA,CA,2020,"11        ",Female,16,Right-Handed,158,23,162,2,Car,7,0.4,42,Other,529,594,642,540,936,1000,23,"Same length",68,62,"Index finger",February,Fall,No,No,Seafood,Milk,Science,5,9,4,"Yes - broadband connection","In person",44,78,7,6,5,4,0,0,0,12,8,0,0,0,"A lot","Graduate degree",Pop,"Freeze time",Healthy,Friend,Health
USA,CA,2020,"11        ",Male,16,Right-Handed,170,27.5,174,"2    ",Bus,45,.306,45,Other,476,1000,497,96,1000,1000,27.5,"Same length",78,88,"Ring finger",June,Winter,No,No,Pizza/Pasta,Water,"Mathematics and statistics",7,8,3,"Yes - broadband connection","Text messaging",20,15,4,0,2,0,,1,2,1,6,0,0,0,Some,"Graduate degree",Other,Fly,Happy,Other,Health
USA,CA,2020,"11        ",Female,16,Right-Handed,167,23.11,101.4,2,Bus,50,0.468,56,Cycling,500,300,350,200,1000,1000,23.11,"Same length",7.11,7.11,"Same length",May,Summer,No,No,Pizza/Pasta,Water,English,7,10,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",7,4,10,1,6,3,3,12,5,1,15,3,0,3,Some,"Graduate degree",Other,Invisibility,Healthy,Relative,"Wildlife, animals"
USA,CA,2020,"11        ",Male,16,Right-Handed,179.0,27,"5,11",2,Car,15,0.356,40,Golf,no,no,yes,yes,yes,yes,9,"Same length",4.56,3.54,"Same length",June,Winter,Yes,No,Pizza/Pasta,Other,Science,9,9,5,"Yes - other","In person",4,4,3,3,6,0,1,3,2,1,1,1,0,0,None,"Some college","Rap/Hip hop","Super strength",Happy,Relative,Other
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"7         ",Female,12,Right-Handed,,4cm,,2,Car,"10 ",1:14,20,Swimming,100,10,100,100,100,100,?,"Same length",?,?,"Same length",August,Summer,Yes,No,Meat,,English,8,6,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",20,none,5,"lots ",0,100,none,none,100,100,100,100,100,100,"A lot","Graduate degree",Other,Telepathy,Rich,,"Wildlife, animals"
USA,CA,2020,"12        ",Female,18,Right-Handed,5'1,7,126cm,2,Car,30,0.597,46,Basketball,807,1000,1000,1000,674,1000,7,"Same length","6 1/2",8,"Ring finger",January,Fall,Yes,No,Seafood,Water,Art,"6 1/2",5,6,"Yes - broadband connection","Text messaging",50,50,3-5,1,3,10,1,0,7,7,7,3,2,2,"A lot","Undergraduate degree",Reggae,Invisibility,Healthy,Relative,Health
USA,CA,2020,"12        ",Female,17,Ambidextrous,5´2,26,157,2,Car,30,1.1,51,Dancing,1000,700,900,900,1000,1000,27,"Left foot",71,54,"Index finger",September,Summer,No,No,"No favorite",Other,"Mathematics and statistics",9,8,5,"Yes - other","Text messaging",2,4,0,1,3,7,4,0,7,7,2,7,0,7,Some,"Graduate degree","Rap/Hip hop",Telepathy,Famous,"Musician or singer","Arts, culture, sports"
USA,CA,2020,"7         ",Female,13,Right-Handed,"5,1",25,1yrd,2,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"11        ",Male,17,Right-Handed,190.5,27,186,3,Car,13,0.367,59,Tennis,850,800,825,733,1000,1000,28,"Left foot",80,70,"Index finger",December,Summer,No,Yes,Desserts,Juice,"Computers and technology",8,11,3,"Yes - broadband connection","Text messaging",15,20,15,8,21,43,5,10,8,4,69,20,0,10,Some,"Graduate degree","Rock and roll","Freeze time",Happy,"Religious figure","International aid"
USA,CA,2020,"11        ",Female,16,Right-Handed,167,24,171,1,Car,30,0.087,40,"Martial Arts",900,900,900,900,500,550,24,"Same length",8.5,7,"Index finger",October,Fall,No,No,Seafood,Water,Other,8,10,6,"Yes - other",,4,0,32,0,2,3,1,0,2,1,10,1,0,1,"Very little","Graduate degree","Rap/Hip hop",Invisibility,Rich,Relative,"International aid"
